date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:10	202/202	---M-Z	200	added ('OK')	text/plain	date:Tue,%2015%20Jul%202025%2013:10:09%20GMT	https://www.walkertapeco.com/robots.txt		(from )
13:10:10	42075/42075	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:09%20GMT	https://www.walkertapeco.com/	./mirrored_site/www.walkertapeco.com/index.html	(from )
13:10:11	1052576/1052576	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Jul%202025%2013:10:10%20GMT	https://www.walkertapeco.com/scs/extensions/shopping_2.css?t=1749053307127	./mirrored_site/www.walkertapeco.com/scs/extensions/shopping_246c1.css	(from https://www.walkertapeco.com/)
13:10:11	15086/15086	---M-Z	200	added ('OK')	image/ico	date:Fri,%2011%20Jul%202025%2020:25:31%20GMT	https://www.walkertapeco.com/scs/Favicon/img/favicon.ico	./mirrored_site/www.walkertapeco.com/scs/Favicon/img/favicon.ico	(from https://www.walkertapeco.com/)
13:10:12	43101/43101	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:12%20GMT	https://www.walkertapeco.com/walker-tape	./mirrored_site/www.walkertapeco.com/walker-tape.html	(from https://www.walkertapeco.com/)
13:10:13	47346/47346	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:13%20GMT	https://www.walkertapeco.com/walker-tape/tapes	./mirrored_site/www.walkertapeco.com/walker-tape/tapes.html	(from https://www.walkertapeco.com/)
13:10:14	109223/109223	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:14%20GMT	https://www.walkertapeco.com/walker-tape/tapes/1522-clear	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/1522-clear.html	(from https://www.walkertapeco.com/)
13:10:15	88835/88835	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:15%20GMT	https://www.walkertapeco.com/walker-tape/tapes/duo-tac	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/duo-tac.html	(from https://www.walkertapeco.com/)
13:10:16	77906/77906	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:16%20GMT	https://www.walkertapeco.com/walker-tape/tapes/extenda-bond-plus	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/extenda-bond-plus.html	(from https://www.walkertapeco.com/)
13:10:17	107705/107705	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:17%20GMT	https://www.walkertapeco.com/walker-tape/tapes/german-brown	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/german-brown.html	(from https://www.walkertapeco.com/)
13:10:18	124093/124093	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:18%20GMT	https://www.walkertapeco.com/walker-tape/tapes/lace-front	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/lace-front.html	(from https://www.walkertapeco.com/)
13:10:19	80541/80541	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:19%20GMT	https://www.walkertapeco.com/walker-tape/tapes/lace-front-thin	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/lace-front-thin.html	(from https://www.walkertapeco.com/)
13:10:20	107553/107553	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:20%20GMT	https://www.walkertapeco.com/walker-tape/tapes/natural-hold	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/natural-hold.html	(from https://www.walkertapeco.com/)
13:10:21	116772/116772	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:21%20GMT	https://www.walkertapeco.com/walker-tape/tapes/no-shine	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/no-shine.html	(from https://www.walkertapeco.com/)
13:10:22	118300/118300	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:22%20GMT	https://www.walkertapeco.com/walker-tape/tapes/pro-flex-ii	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/pro-flex-ii.html	(from https://www.walkertapeco.com/)
13:10:23	114116/114116	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:23%20GMT	https://www.walkertapeco.com/walker-tape/tapes/sensi-tak	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/sensi-tak.html	(from https://www.walkertapeco.com/)
13:10:24	99593/99593	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:24%20GMT	https://www.walkertapeco.com/walker-tape/tapes/super-stick	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/super-stick.html	(from https://www.walkertapeco.com/)
13:10:25	73856/73856	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:25%20GMT	https://www.walkertapeco.com/walker-tape/tapes/this-side-to-base	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/this-side-to-base.html	(from https://www.walkertapeco.com/)
13:10:26	119546/119546	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:26%20GMT	https://www.walkertapeco.com/walker-tape/tapes/ultra-hold-tape	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/ultra-hold-tape.html	(from https://www.walkertapeco.com/)
13:10:27	85800/85800	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:27%20GMT	https://www.walkertapeco.com/walker-tape/tapes/walker-signature-sensi-tak-select	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/walker-signature-sensi-tak-select.html	(from https://www.walkertapeco.com/)
13:10:28	85625/85625	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:28%20GMT	https://www.walkertapeco.com/walker-tape/tapes/walker-signature-tape	./mirrored_site/www.walkertapeco.com/walker-tape/tapes/walker-signature-tape.html	(from https://www.walkertapeco.com/)
13:10:29	46242/46242	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:29%20GMT	https://www.walkertapeco.com/walker-tape/liquid-adhesives	./mirrored_site/www.walkertapeco.com/walker-tape/liquid-adhesives.html	(from https://www.walkertapeco.com/)
13:10:30	66058/66058	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:30%20GMT	https://www.walkertapeco.com/walker-tape/liquid-adhesives/extreme-hold	./mirrored_site/www.walkertapeco.com/walker-tape/liquid-adhesives/extreme-hold.html	(from https://www.walkertapeco.com/)
13:10:31	63114/63114	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:31%20GMT	https://www.walkertapeco.com/walker-tape/liquid-adhesives/great-white	./mirrored_site/www.walkertapeco.com/walker-tape/liquid-adhesives/great-white.html	(from https://www.walkertapeco.com/)
13:10:32	61888/61888	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:32%20GMT	https://www.walkertapeco.com/walker-tape/liquid-adhesives/liqui-tape	./mirrored_site/www.walkertapeco.com/walker-tape/liquid-adhesives/liqui-tape.html	(from https://www.walkertapeco.com/)
13:10:33	69355/69355	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:33%20GMT	https://www.walkertapeco.com/walker-tape/liquid-adhesives/mity-tite	./mirrored_site/www.walkertapeco.com/walker-tape/liquid-adhesives/mity-tite.html	(from https://www.walkertapeco.com/)
13:10:34	63549/63549	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:34%20GMT	https://www.walkertapeco.com/walker-tape/liquid-adhesives/safe-grip	./mirrored_site/www.walkertapeco.com/walker-tape/liquid-adhesives/safe-grip.html	(from https://www.walkertapeco.com/)
13:10:35	73664/73664	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:35%20GMT	https://www.walkertapeco.com/walker-tape/liquid-adhesives/ultra-hold	./mirrored_site/www.walkertapeco.com/walker-tape/liquid-adhesives/ultra-hold.html	(from https://www.walkertapeco.com/)
13:10:36	40473/40473	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:36%20GMT	https://www.walkertapeco.com/walker-tape/hard-bonds	./mirrored_site/www.walkertapeco.com/walker-tape/hard-bonds.html	(from https://www.walkertapeco.com/)
13:10:37	54362/54362	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:37%20GMT	https://www.walkertapeco.com/walker-tape/hard-bonds/hard-bond-remover	./mirrored_site/www.walkertapeco.com/walker-tape/hard-bonds/hard-bond-remover.html	(from https://www.walkertapeco.com/)
13:10:38	53518/53518	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:38%20GMT	https://www.walkertapeco.com/walker-tape/hard-bonds/sure-stick	./mirrored_site/www.walkertapeco.com/walker-tape/hard-bonds/sure-stick.html	(from https://www.walkertapeco.com/)
13:10:39	47743/47743	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:39%20GMT	https://www.walkertapeco.com/walker-tape/adhesive-removers	./mirrored_site/www.walkertapeco.com/walker-tape/adhesive-removers.html	(from https://www.walkertapeco.com/)
13:10:40	61265/61265	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:40%20GMT	https://www.walkertapeco.com/walker-tape/adhesive-removers/action	./mirrored_site/www.walkertapeco.com/walker-tape/adhesive-removers/action.html	(from https://www.walkertapeco.com/)
13:10:41	59624/59624	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:41%20GMT	https://www.walkertapeco.com/walker-tape/adhesive-removers/c-22-solvent	./mirrored_site/www.walkertapeco.com/walker-tape/adhesive-removers/c-22-solvent.html	(from https://www.walkertapeco.com/)
13:10:42	61561/61561	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:42%20GMT	https://www.walkertapeco.com/walker-tape/adhesive-removers/lace-release	./mirrored_site/www.walkertapeco.com/walker-tape/adhesive-removers/lace-release.html	(from https://www.walkertapeco.com/)
13:10:43	58216/58216	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:43%20GMT	https://www.walkertapeco.com/walker-tape/adhesive-removers/rapid-release	./mirrored_site/www.walkertapeco.com/walker-tape/adhesive-removers/rapid-release.html	(from https://www.walkertapeco.com/)
13:10:44	62056/62056	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:44%20GMT	https://www.walkertapeco.com/walker-tape/adhesive-removers/s3-sensitive-skin-solvent	./mirrored_site/www.walkertapeco.com/walker-tape/adhesive-removers/s3-sensitive-skin-solvent.html	(from https://www.walkertapeco.com/)
13:10:45	48733/48733	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:45%20GMT	https://www.walkertapeco.com/walker-tape/adhesive-removers/walker-signature-remover	./mirrored_site/www.walkertapeco.com/walker-tape/adhesive-removers/walker-signature-remover.html	(from https://www.walkertapeco.com/)
13:10:46	59339/59339	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:46%20GMT	https://www.walkertapeco.com/walker-tape/adhesive-removers/walker-solvent	./mirrored_site/www.walkertapeco.com/walker-tape/adhesive-removers/walker-solvent.html	(from https://www.walkertapeco.com/)
13:10:47	41722/41722	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:47%20GMT	https://www.walkertapeco.com/walker-tape/system-care	./mirrored_site/www.walkertapeco.com/walker-tape/system-care.html	(from https://www.walkertapeco.com/)
13:10:48	53256/53256	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:48%20GMT	https://www.walkertapeco.com/walker-tape/system-care/base-tape	./mirrored_site/www.walkertapeco.com/walker-tape/system-care/base-tape.html	(from https://www.walkertapeco.com/)
13:10:49	56756/56756	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:49%20GMT	https://www.walkertapeco.com/walker-tape/system-care/leave-in-conditioner	./mirrored_site/www.walkertapeco.com/walker-tape/system-care/leave-in-conditioner.html	(from https://www.walkertapeco.com/)
13:10:50	47473/47473	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:50%20GMT	https://www.walkertapeco.com/walker-tape/system-care/system-revitalizing-mist-for-synthetic-hair	./mirrored_site/www.walkertapeco.com/walker-tape/system-care/system-revitalizing-mist-for-synthetic-hair.html	(from https://www.walkertapeco.com/)
13:10:51	54998/54998	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:51%20GMT	https://www.walkertapeco.com/walker-tape/system-care/top-loc-knot-sealer	./mirrored_site/www.walkertapeco.com/walker-tape/system-care/top-loc-knot-sealer.html	(from https://www.walkertapeco.com/)
13:10:52	42258/42258	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:52%20GMT	https://www.walkertapeco.com/walker-tape/preparation	./mirrored_site/www.walkertapeco.com/walker-tape/preparation.html	(from https://www.walkertapeco.com/)
13:10:53	57175/57175	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:53%20GMT	https://www.walkertapeco.com/walker-tape/preparation/bond-breaker-shampoo	./mirrored_site/www.walkertapeco.com/walker-tape/preparation/bond-breaker-shampoo.html	(from https://www.walkertapeco.com/)
13:10:54	48034/48034	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:54%20GMT	https://www.walkertapeco.com/walker-tape/preparation/just-rite-positioning-spray	./mirrored_site/www.walkertapeco.com/walker-tape/preparation/just-rite-positioning-spray.html	(from https://www.walkertapeco.com/)
13:10:55	57932/57932	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Jul%202025%2013:10:55%20GMT	https://www.walkertapeco.com/walker-tape/preparation/max-hold-sport	./mirrored_site/www.walkertapeco.com/walker-tape/preparation/max-hold-sport.html	(from https://www.walkertapeco.com/)
